类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级,是否新出现
股票,DENN,6.14,-0.32,66.0,0.89,85,✅ 买入,否
股票,FDP,35.94,-2.15,52.9,0.71,85,✅ 买入,否
股票,AZO,3819.29,0.81,47.6,0.92,85,✅ 买入,否
股票,DTE,137.72,-1.82,47.4,1.35,85,✅ 买入,否
股票,NUE,145.81,-1.73,53.9,0.89,85,✅ 买入,否
股票,WSFS,54.36,-0.62,53.7,0.93,85,✅ 买入,否
股票,JKS,26.32,-3.63,53.5,0.96,85,✅ 买入,否
股票,WWD,263.29,-3.92,52.6,0.74,85,✅ 买入,否
股票,GSHD,70.15,0.4,49.9,0.66,85,✅ 买入,否
股票,IVR,7.67,-1.67,54.6,1.1,85,✅ 买入,否
股票,CAT,553.55,-3.4,55.0,1.22,85,✅ 买入,否
股票,AFYA,14.65,1.38,51.4,0.65,85,✅ 买入,否
股票,DRUG,58.36,-2.98,52.1,1.89,85,✅ 买入,否
股票,DEO,96.05,-0.97,52.0,0.77,85,✅ 买入,否
股票,CATY,46.98,0.26,50.3,0.98,85,✅ 买入,否
股票,SHO,9.43,-0.84,53.9,0.77,85,✅ 买入,否
股票,HRL,22.66,1.75,46.3,1.32,85,✅ 买入,否
股票,PAGP,17.51,0.34,48.6,0.43,85,✅ 买入,否
股票,K,83.29,-0.04,70.1,0.82,85,✅ 买入,否
股票,POST,106.34,-0.27,50.8,1.04,85,✅ 买入,否
股票,AME,194.15,-1.34,53.7,1.07,85,✅ 买入,否
股票,KALU,93.58,-1.59,59.5,0.7,85,✅ 买入,否
股票,CTAS,187.91,1.42,46.9,1.04,85,✅ 买入,否
股票,WM,204.51,0.35,44.3,1.26,85,✅ 买入,否
股票,APPN,43.05,-5.67,73.7,1.14,80,✅ 买入,否
股票,GRWG,1.65,-5.17,50.0,1.3,80,✅ 买入,否
股票,RUN,18.87,-2.93,48.1,1.43,80,✅ 买入,否
股票,UPWK,17.05,0.06,50.9,0.47,80,✅ 买入,否
股票,ACEL,10.3,-0.1,47.6,0.58,80,✅ 买入,否
股票,APO,128.71,-3.65,49.7,1.38,80,✅ 买入,否
股票,PM,155.15,-0.26,52.4,0.68,80,✅ 买入,否
股票,TCBC,20.23,-0.3,51.2,0.82,80,✅ 买入,否
股票,SRE,92.22,-0.27,53.1,1.8,80,✅ 买入,否
股票,ZM,84.04,-0.78,52.9,0.74,80,✅ 买入,否
股票,KDP,27.0,0.37,50.0,1.3,80,✅ 买入,否
股票,AMAT,223.23,-3.25,48.6,1.91,80,✅ 买入,否
股票,WES,38.59,-0.82,51.2,0.68,80,✅ 买入,否
股票,QCOM,174.5,-1.23,52.4,0.69,80,✅ 买入,否
股票,AMD,247.96,-4.22,55.6,1.12,80,✅ 买入,否
股票,AMTB,17.78,-1.22,49.0,0.6,80,✅ 买入,否
股票,KMI,26.89,-0.44,52.1,0.97,80,✅ 买入,否
股票,AGYS,125.48,-2.37,56.5,0.83,80,✅ 买入,否
股票,LLY,1022.87,0.5,83.5,0.99,80,✅ 买入,否
股票,ATNI,19.85,0.25,79.0,1.19,80,✅ 买入,否
股票,OLLI,126.32,-1.79,52.0,0.7,80,✅ 买入,否
股票,ARCC,20.29,-0.44,50.2,0.73,80,✅ 买入,否
股票,RF,24.96,-1.69,52.0,0.46,80,✅ 买入,否
股票,HBAN,15.71,-1.5,46.2,0.73,80,✅ 买入,否
股票,CFG,51.71,-1.8,51.4,0.77,80,✅ 买入,否
股票,MTB,186.38,-0.94,50.9,0.7,80,✅ 买入,否
股票,SOFI,28.39,-11.86,48.3,1.43,80,✅ 买入,否
股票,RKT,17.15,-4.35,49.4,0.77,80,✅ 买入,否
股票,CLDT,6.7,-2.47,54.4,0.76,80,✅ 买入,否
股票,TROW,103.72,-1.0,50.7,0.72,80,✅ 买入,否
股票,ESNT,61.2,-0.5,50.4,0.84,80,✅ 买入,否
股票,NMIH,37.22,-0.88,52.3,0.81,80,✅ 买入,否
股票,BXMT,18.42,0.0,49.8,0.56,80,✅ 买入,否
股票,MFA,9.26,-0.96,51.6,0.88,80,✅ 买入,否
股票,TX,36.32,-1.55,52.9,0.4,80,✅ 买入,否
股票,AUPH,15.22,-2.06,70.1,0.69,80,✅ 买入,否
股票,FULT,17.65,-0.62,47.1,0.64,80,✅ 买入,否
股票,ALKS,31.01,-1.27,49.6,1.08,80,✅ 买入,否
股票,MRSN,27.43,209.24,89.5,16.19,80,✅ 买入,否
股票,RVMD,64.38,-2.2,77.3,1.05,80,✅ 买入,否
股票,CRS,324.71,-2.2,65.7,0.92,80,✅ 买入,否
股票,AA,38.19,-4.6,53.7,0.96,80,✅ 买入,否
股票,EG,327.49,0.76,46.9,0.8,80,✅ 买入,否
股票,ALGT,66.51,-3.71,52.0,0.73,80,✅ 买入,否
股票,MAIN,58.9,-0.41,50.4,0.71,80,✅ 买入,否
股票,MGM,32.82,-1.06,50.8,0.75,80,✅ 买入,否
股票,CHKP,198.81,-1.73,51.7,0.47,80,✅ 买入,否
股票,UBS,39.07,-1.34,51.3,0.84,80,✅ 买入,否
股票,BKR,47.51,-0.04,50.1,0.72,80,✅ 买入,否
