类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级,是否新出现
股票,LNC,41.04,-0.1,53.5,0.84,90,✅ 买入,否
股票,CRWD,537.55,1.47,55.8,0.88,90,✅ 买入,否
股票,SPGI,493.9,-1.8,50.1,1.22,90,✅ 买入,否
股票,IVR,7.61,-0.78,51.8,0.7,90,✅ 买入,否
股票,STLD,155.41,0.53,56.2,0.76,90,✅ 买入,否
股票,AU,79.39,-1.62,60.8,0.73,90,✅ 买入,否
股票,MFA,9.28,0.22,52.4,0.76,90,✅ 买入,否
股票,CMA,78.31,0.26,56.2,0.54,90,✅ 买入,否
股票,AEM,168.11,-0.45,54.2,0.87,90,✅ 买入,否
股票,BXMT,18.5,0.43,51.6,0.61,90,✅ 买入,否
股票,PM,155.43,0.18,53.0,0.46,90,✅ 买入,否
股票,BPTH,0.1,11.11,63.6,0.03,90,✅ 买入,否
股票,ACRS,2.52,8.62,60.0,1.5,90,✅ 买入,否
股票,MS,163.86,-1.06,52.4,1.33,90,✅ 买入,否
股票,AGYS,129.5,3.2,61.0,0.59,90,✅ 买入,否
股票,CSGS,78.25,-0.31,79.7,0.53,90,✅ 买入,否
股票,TMO,578.71,-0.24,65.7,0.7,90,✅ 买入,否
股票,ISRG,549.51,-2.83,60.6,0.7,90,✅ 买入,否
股票,GMRE,32.73,1.9,55.0,0.87,90,✅ 买入,否
股票,HALO,70.03,-1.63,58.0,0.74,90,✅ 买入,否
股票,MRSN,27.92,1.79,89.7,1.98,90,✅ 买入,否
股票,AKRO,54.25,0.09,68.9,1.03,90,✅ 买入,否
股票,NXRT,31.56,0.73,52.2,0.9,90,✅ 买入,否
股票,CPT,102.66,0.88,50.5,0.93,90,✅ 买入,否
股票,AUPH,15.35,0.85,71.0,0.8,90,✅ 买入,否
股票,AMT,183.59,1.36,48.2,1.31,90,✅ 买入,否
股票,ATO,175.12,-1.6,50.9,1.4,90,✅ 买入,否
股票,LUV,32.82,-0.67,54.4,0.75,90,✅ 买入,否
股票,VEEV,293.36,0.57,51.7,1.34,90,✅ 买入,否
股票,HURN,165.5,2.31,61.0,1.19,90,✅ 买入,否
股票,CWST,89.2,0.95,51.7,0.74,90,✅ 买入,否
股票,EARN,5.25,1.35,50.1,0.5,90,✅ 买入,否
股票,ARQT,25.0,9.36,62.0,1.4,90,✅ 买入,否
股票,GPMT,2.75,1.1,50.4,0.46,90,✅ 买入,否
股票,ANDE,49.28,0.31,62.1,0.6,90,✅ 买入,否
股票,AZO,3856.87,0.98,51.2,0.9,90,✅ 买入,否
股票,HAL,27.3,1.04,60.3,0.74,90,✅ 买入,否
股票,OXY,42.76,1.76,54.9,0.86,90,✅ 买入,否
股票,HLT,269.67,-0.08,54.5,0.72,90,✅ 买入,否
股票,GOOGL,276.41,-0.78,55.8,0.92,90,✅ 买入,否
股票,M,19.99,-0.4,59.1,1.0,90,✅ 买入,否
股票,AMSF,41.57,0.43,53.7,0.79,90,✅ 买入,否
股票,IBM,305.69,0.27,56.0,0.54,90,✅ 买入,否
股票,MLI,106.92,-0.21,59.0,0.65,90,✅ 买入,否
股票,NEXT,6.06,1.34,45.8,1.05,90,✅ 买入,否
股票,KDP,27.13,0.48,51.1,0.94,90,✅ 买入,否
股票,TAP,46.44,-0.94,53.4,0.93,90,✅ 买入,否
