类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级,是否新出现
ETF,LIT,63.69,2.21,63.7,1.52,125,🔥 新强买入,是
ETF,XLE,90.48,0.25,59.4,1.13,115,🔥 新强买入,是
ETF,XOP,131.92,-0.1,57.2,1.22,115,🔥 新强买入,是
ETF,VEA,61.4,-1.17,55.1,1.23,110,🔥 新强买入,是
ETF,XLV,152.74,-0.05,81.6,1.85,105,🔥 新强买入,是
ETF,SLV,47.42,-1.86,63.1,1.17,105,🔥 新强买入,是
ETF,GLD,382.87,-0.81,60.3,0.8,100,🔥 新强买入,是
ETF,GDX,77.05,-2.78,56.4,0.93,100,🔥 新强买入,是
ETF,UNG,14.81,1.09,68.0,0.92,100,🔥 新强买入,是
ETF,BATT,13.62,-1.3,55.2,0.87,95,🔥 新强买入,是
