类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级
股票,TSN,54.3,0.44,57.7,1.02,90,⭐ 强买入
股票,CB,296.22,0.44,69.6,0.86,90,⭐ 强买入
股票,FOX,58.95,-2.19,62.3,1.37,90,⭐ 强买入
股票,CART,40.33,2.33,59.0,0.91,90,⭐ 强买入
股票,FYBR,37.84,-0.32,63.0,1.41,90,⭐ 强买入
股票,TFC,45.33,-0.68,57.1,1.3,90,⭐ 强买入
股票,MESA,1.55,-6.63,58.5,1.64,90,⭐ 强买入
股票,FLNG,26.04,4.04,53.2,1.55,90,⭐ 强买入
股票,MATX,106.6,-3.24,57.7,1.29,90,⭐ 强买入
股票,GS,805.5,-3.99,55.8,1.31,90,⭐ 强买入
股票,RHHBY,45.52,0.2,68.8,1.08,90,⭐ 强买入
股票,CPRX,23.02,1.05,68.2,0.97,90,⭐ 强买入
股票,SONY,29.44,-2.71,56.4,1.37,90,⭐ 强买入
股票,ANIK,10.1,0.0,63.1,2.07,90,⭐ 强买入
股票,TRV,287.42,0.45,68.3,1.16,90,⭐ 强买入
股票,PRU,107.85,0.06,66.8,0.99,90,⭐ 强买入
股票,STC,72.68,0.55,55.5,0.79,90,⭐ 强买入
股票,AMCR,8.58,2.02,65.6,0.91,90,⭐ 强买入
股票,AMCX,7.97,-3.04,55.2,1.3,90,⭐ 强买入
股票,L,104.39,0.34,70.3,0.92,90,⭐ 强买入
股票,MCD,307.58,0.21,56.0,0.76,90,⭐ 强买入
股票,CNA,46.18,0.46,57.1,0.63,90,⭐ 强买入
股票,AXS,102.69,1.04,72.0,0.7,90,⭐ 强买入
股票,AIZ,227.05,0.25,68.6,0.75,90,⭐ 强买入
股票,AFG,143.19,0.8,63.5,1.19,90,⭐ 强买入
股票,ACGL,92.76,1.07,67.0,0.91,90,⭐ 强买入
股票,WAFD,30.68,0.36,61.2,1.15,90,⭐ 强买入
股票,GM,71.89,0.07,73.0,0.79,90,⭐ 强买入
股票,ARR,16.55,-1.61,58.0,1.26,90,⭐ 强买入
股票,PMT,12.41,0.16,55.5,0.75,90,⭐ 强买入
股票,FAF,64.01,0.27,57.0,0.51,90,⭐ 强买入
股票,FNF,58.59,0.15,60.0,0.89,90,⭐ 强买入
股票,MKTX,174.0,2.52,59.5,0.95,90,⭐ 强买入
股票,TCOM,74.52,-0.09,61.6,1.66,90,⭐ 强买入
股票,YUM,149.73,0.24,57.5,0.86,90,⭐ 强买入
股票,QSR,70.41,1.84,66.9,0.93,90,⭐ 强买入
股票,LAND,9.72,-1.72,62.7,1.95,90,⭐ 强买入
股票,SPGI,502.96,1.44,56.2,1.16,90,⭐ 强买入
股票,HIG,133.68,0.76,68.6,0.91,90,⭐ 强买入
股票,UMH,15.18,0.13,60.3,0.84,90,⭐ 强买入
股票,WRB,76.96,0.4,62.4,0.64,90,⭐ 强买入
股票,ACNB,47.88,0.04,65.7,1.19,90,⭐ 强买入
股票,SYK,373.42,1.66,54.8,1.49,90,⭐ 强买入
股票,VRTX,434.52,0.08,64.5,1.11,90,⭐ 强买入
股票,MDT,96.14,0.34,62.4,0.88,90,⭐ 强买入
股票,PSX,139.5,1.07,59.3,1.03,90,⭐ 强买入
股票,PFE,25.79,-0.31,62.0,1.34,90,⭐ 强买入
股票,JNJ,195.25,0.44,68.1,1.15,90,⭐ 强买入
ETF,VEA,61.4,-1.17,55.1,1.23,90,⭐ 强买入
ETF,XLE,90.48,0.25,59.4,1.13,90,⭐ 强买入
股票,SENEB,118.67,0.82,73.6,1.18,90,⭐ 强买入
股票,ED,100.95,0.76,57.5,1.1,90,⭐ 强买入
股票,VIPS,19.71,0.31,61.9,0.6,90,⭐ 强买入
股票,NOV,15.27,-0.84,61.4,1.33,90,⭐ 强买入
股票,VAL,56.56,0.32,57.7,0.59,90,⭐ 强买入
股票,FTI,43.16,0.58,66.4,0.53,90,⭐ 强买入
股票,NJR,46.62,1.28,58.0,0.99,90,⭐ 强买入
股票,NWN,48.26,0.27,67.8,0.96,90,⭐ 强买入
股票,CYTK,65.52,-0.64,65.1,1.28,90,⭐ 强买入
股票,DB,37.9,-1.92,64.7,1.47,90,⭐ 强买入
股票,BKH,70.3,-2.59,69.4,1.46,90,⭐ 强买入
股票,EW,86.11,0.62,73.1,0.83,90,⭐ 强买入
ETF,XOP,131.92,-0.1,57.2,1.22,90,⭐ 强买入
股票,EPAM,180.47,0.19,71.1,1.37,90,⭐ 强买入
股票,MNST,71.08,0.85,60.5,1.07,90,⭐ 强买入
股票,JBSS,67.85,0.24,59.6,0.46,90,⭐ 强买入
股票,SEB,4014.51,3.03,73.2,2.25,90,⭐ 强买入
股票,HST,17.57,-2.71,59.1,0.99,80,✅ 买入
股票,IHG,129.77,-2.04,61.0,1.07,80,✅ 买入
股票,H,152.12,-3.02,57.5,0.82,80,✅ 买入
股票,CWST,88.36,1.1,49.1,1.27,80,✅ 买入
股票,TRGP,169.71,-0.51,61.3,0.82,80,✅ 买入
股票,MAR,287.43,-1.45,63.6,1.08,80,✅ 买入
股票,RIG,4.01,-2.91,60.4,0.72,80,✅ 买入
股票,RHP,93.85,-0.59,61.0,0.6,80,✅ 买入
股票,MT,39.9,-2.01,58.7,0.88,80,✅ 买入
股票,VZ,41.11,0.76,55.9,0.93,80,✅ 买入
股票,SBUX,86.44,-0.94,56.3,0.96,80,✅ 买入
股票,LUV,33.04,-0.9,55.9,0.76,80,✅ 买入
股票,CNP,39.58,0.0,56.2,0.86,80,✅ 买入
股票,CSIQ,28.62,0.56,71.3,2.26,80,✅ 买入
股票,SWX,81.43,-0.29,56.9,0.97,80,✅ 买入
股票,NKE,66.03,2.85,50.9,1.58,80,✅ 买入
股票,SR,89.16,-1.54,60.8,1.79,80,✅ 买入
股票,PCG,16.65,-0.95,59.6,0.98,80,✅ 买入
股票,TJX,146.4,-0.83,59.8,0.88,80,✅ 买入
股票,MPLX,51.95,-0.99,62.0,1.03,80,✅ 买入
股票,AEP,121.48,-0.98,61.5,0.78,80,✅ 买入
股票,ULTA,533.87,-0.29,55.1,1.12,80,✅ 买入
股票,F,13.28,-1.26,59.8,0.5,80,✅ 买入
股票,DLTR,103.15,-2.85,55.0,0.91,80,✅ 买入
股票,CNI,96.61,-1.29,55.2,0.68,80,✅ 买入
股票,USAC,23.51,1.64,53.2,0.76,80,✅ 买入
股票,XPEV,26.38,-3.3,61.4,1.37,80,✅ 买入
股票,NEE,83.99,-2.21,56.2,1.28,80,✅ 买入
股票,MLCO,9.0,-0.77,61.1,0.81,80,✅ 买入
股票,CMI,467.49,-2.5,62.1,0.93,80,✅ 买入
股票,W,106.49,-4.68,61.6,0.75,80,✅ 买入
股票,ROK,379.69,-3.76,60.5,1.17,80,✅ 买入
股票,MLI,107.15,-1.81,60.1,0.68,80,✅ 买入
股票,CVX,155.58,1.47,52.4,1.07,80,✅ 买入
股票,ANDE,49.13,-1.42,61.5,1.04,80,✅ 买入
股票,KRP,13.67,-0.22,61.0,1.09,80,✅ 买入
股票,AEM,168.87,-2.44,55.1,0.88,80,✅ 买入
股票,MMM,170.62,-0.27,64.0,1.09,80,✅ 买入
股票,KO,71.07,-0.62,61.8,0.84,80,✅ 买入
股票,FDX,267.34,-0.5,68.5,0.8,80,✅ 买入
股票,KGC,25.51,-2.0,57.1,0.87,80,✅ 买入
股票,GIS,47.33,1.78,48.3,1.27,80,✅ 买入
股票,UPS,95.97,-0.22,62.5,0.72,80,✅ 买入
股票,ZEUS,33.91,-2.05,56.0,0.51,80,✅ 买入
股票,BTI,54.48,-2.4,58.2,1.13,80,✅ 买入
股票,CTVA,66.2,-0.42,59.9,0.64,80,✅ 买入
股票,SMG,58.4,-0.15,62.2,1.11,80,✅ 买入
股票,TPG,57.87,-1.26,55.7,1.64,80,✅ 买入
股票,DOV,181.97,-0.9,60.8,0.89,80,✅ 买入
股票,COP,89.42,0.39,50.8,1.22,80,✅ 买入
股票,EOG,109.24,0.46,55.1,0.7,80,✅ 买入
股票,DVN,35.04,-0.51,63.1,1.06,80,✅ 买入
股票,HP,26.98,1.35,62.6,1.33,80,✅ 买入
股票,IDXX,701.48,-1.69,63.0,0.85,80,✅ 买入
股票,LVS,65.6,-1.58,71.6,1.67,80,✅ 买入
股票,NTR,58.87,-2.1,56.5,1.03,80,✅ 买入
股票,SBS,26.57,-0.34,75.5,1.55,80,✅ 买入
股票,AEO,17.54,-1.52,58.1,0.7,80,✅ 买入
股票,JCI,120.2,-2.01,63.0,0.88,80,✅ 买入
股票,KSS,17.5,-3.1,57.5,0.62,80,✅ 买入
股票,EXPD,138.44,-1.59,68.4,0.94,80,✅ 买入
股票,VLO,175.78,-0.99,58.7,1.05,80,✅ 买入
股票,APD,263.03,0.57,56.5,0.88,80,✅ 买入
股票,FLS,68.0,-2.79,65.7,0.75,80,✅ 买入
股票,TSCO,56.18,0.36,56.0,0.78,80,✅ 买入
股票,NEM,89.72,-3.6,57.0,0.77,80,✅ 买入
股票,CHRW,151.66,-0.87,66.3,0.82,80,✅ 买入
股票,SLB,36.31,0.67,54.3,0.62,80,✅ 买入
股票,DG,104.19,-0.02,56.0,1.19,80,✅ 买入
股票,NLY,21.78,-0.09,58.6,0.72,80,✅ 买入
股票,WELL,191.07,-0.3,71.4,1.02,80,✅ 买入
股票,VCEL,39.84,-1.48,65.0,0.67,80,✅ 买入
股票,ILMN,119.93,-1.68,63.6,0.79,80,✅ 买入
股票,VXRT,0.37,2.78,52.6,0.4,80,✅ 买入
股票,ALGN,139.42,-1.6,55.8,0.8,80,✅ 买入
股票,EGO,28.19,-2.42,56.5,1.01,80,✅ 买入
股票,A,146.89,-3.06,57.2,1.27,80,✅ 买入
股票,PODD,332.67,-1.24,58.6,0.99,80,✅ 买入
股票,OMCL,35.56,-3.53,62.9,0.77,80,✅ 买入
股票,FOLD,9.38,-0.42,67.0,0.78,80,✅ 买入
股票,NMR,7.32,-0.54,58.6,0.99,80,✅ 买入
股票,ACAD,23.64,-2.03,59.0,1.17,80,✅ 买入
股票,BCS,22.25,-1.16,65.3,0.84,80,✅ 买入
股票,UHS,227.57,-0.37,64.4,0.75,80,✅ 买入
股票,ING,26.2,-1.17,64.4,0.78,80,✅ 买入
股票,MRVI,3.25,0.0,56.2,0.74,80,✅ 买入
股票,BBVA,21.61,-1.01,68.4,0.71,80,✅ 买入
股票,SAN,10.93,-0.91,68.1,1.02,80,✅ 买入
股票,AGEN,4.33,-2.26,57.1,0.82,80,✅ 买入
股票,THG,182.23,-0.09,64.2,0.72,80,✅ 买入
股票,AMPH,26.37,-5.25,55.3,1.05,80,✅ 买入
股票,ARDX,5.83,-3.48,55.2,0.44,80,✅ 买入
股票,BP,36.49,-1.0,61.0,0.85,80,✅ 买入
股票,AXSM,137.4,-2.46,60.7,0.91,80,✅ 买入
股票,LPLA,372.44,-1.11,65.0,0.57,80,✅ 买入
股票,REGN,694.99,1.95,75.1,1.49,80,✅ 买入
股票,CBIO,12.98,-0.54,55.5,0.63,80,✅ 买入
ETF,GLD,382.87,-0.81,60.3,0.8,80,✅ 买入
ETF,GDX,77.05,-2.78,56.4,0.93,80,✅ 买入
股票,TWLO,123.99,-3.46,55.4,0.84,80,✅ 买入
股票,SNAP,8.58,-5.61,58.2,1.09,80,✅ 买入
股票,ESTC,91.3,-1.25,57.1,0.74,80,✅ 买入
ETF,XLV,152.74,-0.05,81.6,1.85,80,✅ 买入
股票,QLYS,143.32,-4.49,58.4,1.14,80,✅ 买入
股票,AKAM,88.67,-1.59,71.4,1.24,80,✅ 买入
ETF,UNG,14.81,1.09,68.0,0.92,80,✅ 买入
ETF,SLV,47.42,-1.86,63.1,1.17,80,✅ 买入
股票,CTSH,73.56,-0.86,62.7,0.85,80,✅ 买入
股票,RAMP,29.9,-1.84,61.1,0.97,80,✅ 买入
股票,ISRG,565.51,-1.21,69.7,0.78,80,✅ 买入
股票,AFBI,19.27,2.12,56.2,0.2,80,✅ 买入
股票,ABUS,4.56,-5.79,51.4,1.61,80,✅ 买入
股票,DOCN,45.19,-6.57,55.3,0.85,80,✅ 买入
股票,VALE,12.38,-0.8,67.9,0.6,80,✅ 买入
股票,ABBV,232.29,-0.4,60.5,1.17,80,✅ 买入
股票,TMO,580.13,-1.34,67.1,1.44,80,✅ 买入
股票,ABT,129.26,0.34,55.2,0.95,80,✅ 买入
股票,DHR,221.2,0.82,63.5,1.64,80,✅ 买入
股票,BMY,48.63,-0.92,68.8,0.9,80,✅ 买入
股票,AMGN,336.0,-0.08,75.9,1.34,80,✅ 买入
股票,BYSI,2.06,-2.83,55.8,0.39,80,✅ 买入
股票,NWE,65.21,-3.12,65.5,1.13,80,✅ 买入
股票,OPEN,8.56,-8.64,56.4,1.56,80,✅ 买入
股票,JKHY,165.27,-1.14,65.8,0.8,80,✅ 买入
股票,AKR,20.05,-0.59,55.9,0.83,80,✅ 买入
股票,CBOE,259.96,-0.35,70.2,0.9,80,✅ 买入
股票,CBL,32.38,-1.22,65.2,0.96,80,✅ 买入
股票,ACRE,4.87,-0.81,57.4,0.94,80,✅ 买入
股票,HLNE,131.15,-2.49,58.3,1.13,80,✅ 买入
股票,RLJ,7.48,-0.53,64.7,1.08,80,✅ 买入
股票,SBRA,18.68,-1.06,55.5,1.17,80,✅ 买入
股票,TRTX,9.01,-0.88,55.9,0.56,80,✅ 买入
股票,MITT,7.79,-0.38,62.1,0.73,80,✅ 买入
股票,ENVA,127.73,-1.14,61.5,0.7,80,✅ 买入
股票,OHI,43.45,-0.5,62.0,0.78,80,✅ 买入
股票,LTC,35.82,0.31,54.2,0.9,80,✅ 买入
股票,SF,122.04,-2.38,62.6,0.78,80,✅ 买入
股票,IVZ,23.98,-2.76,56.6,0.52,80,✅ 买入
股票,AMG,259.1,-2.15,61.5,1.03,80,✅ 买入
股票,AVA,41.34,-0.77,71.6,0.8,80,✅ 买入
股票,MGIC,23.9,-1.12,73.2,1.83,80,✅ 买入
股票,JOE,58.49,-2.16,65.8,0.91,80,✅ 买入
股票,MTG,28.19,-0.98,56.6,0.78,80,✅ 买入
股票,FIS,66.26,0.05,53.5,0.85,80,✅ 买入
股票,IMAX,35.11,-2.31,64.3,0.86,80,✅ 买入
股票,MS,165.61,-2.54,56.0,1.2,80,✅ 买入
股票,MKL,2082.15,-0.47,69.3,0.96,80,✅ 买入
股票,CNK,29.95,-0.23,63.7,0.7,80,✅ 买入
股票,FOXA,65.44,-1.9,62.1,1.02,80,✅ 买入
股票,RGA,190.45,0.09,52.5,0.54,80,✅ 买入
股票,AON,350.94,0.24,55.4,0.89,80,✅ 买入
股票,JPM,309.48,-3.41,50.7,1.22,80,✅ 买入
股票,CINF,166.01,-0.53,65.5,0.88,80,✅ 买入
股票,SPG,183.61,-0.11,58.0,1.06,80,✅ 买入
股票,PFG,84.62,-0.75,61.4,1.02,80,✅ 买入
股票,VTR,77.24,0.44,75.1,0.9,80,✅ 买入
股票,COLB,26.87,-0.99,55.3,0.71,80,✅ 买入
股票,CLLS,3.57,-2.19,51.3,1.58,80,✅ 买入
ETF,SIL,69.28,-1.63,54.0,1.08,70,✅ 买入
ETF,GDXJ,98.59,-2.81,54.5,0.76,70,✅ 买入
股票,CZNC,19.51,0.52,53.0,1.0,70,✅ 买入
股票,OGS,82.01,0.29,55.1,0.58,70,✅ 买入
ETF,XLF,52.98,-1.29,51.0,1.22,70,✅ 买入
ETF,KBE,57.15,-1.41,46.3,1.78,70,✅ 买入
股票,AIV,5.67,-0.18,39.1,1.28,70,✅ 买入
股票,DAL,59.91,-0.94,53.1,1.09,70,✅ 买入
股票,AAL,13.07,-2.9,52.4,0.7,70,✅ 买入
股票,HURN,161.77,-2.24,55.6,0.62,70,✅ 买入
股票,CPK,133.89,-0.64,54.2,0.82,70,✅ 买入
股票,EA,201.34,-0.33,67.8,0.71,70,✅ 买入
股票,GRWG,1.65,-5.17,50.0,1.3,70,✅ 买入
股票,YORW,32.11,0.47,55.5,0.92,70,✅ 买入
股票,RAVE,3.02,1.0,58.9,0.85,70,✅ 买入
股票,HON,199.87,-0.85,52.8,0.84,70,✅ 买入
股票,DE,473.41,-1.53,53.6,0.88,70,✅ 买入
股票,CMC,59.53,-2.97,51.4,0.58,70,✅ 买入
股票,WBD,22.14,-0.23,62.8,0.9,70,✅ 买入
股票,LILAK,8.2,-0.61,51.3,0.67,70,✅ 买入
股票,STLD,154.59,-2.07,55.1,0.96,70,✅ 买入
股票,ELS,61.67,-0.74,50.8,0.52,70,✅ 买入
股票,GOOD,11.27,0.09,46.4,0.82,70,✅ 买入
股票,CRS,324.71,-2.2,65.7,0.92,70,✅ 买入
股票,HL,14.84,-4.44,61.2,0.93,70,✅ 买入
股票,AU,80.7,-5.2,63.1,1.19,70,✅ 买入
股票,SKT,33.82,-1.74,53.2,0.64,70,✅ 买入
股票,AME,194.15,-1.34,53.7,1.07,70,✅ 买入
股票,SBSW,11.27,-3.84,54.2,0.62,70,✅ 买入
股票,VIAV,16.93,-4.94,63.6,0.9,70,✅ 买入
股票,CTAS,187.91,1.42,46.9,1.04,70,✅ 买入
股票,WM,204.51,0.35,44.3,1.26,70,✅ 买入
股票,AWR,75.07,-0.15,54.1,0.95,70,✅ 买入
股票,CAT,553.55,-3.4,55.0,1.22,70,✅ 买入
股票,AAPL,272.95,-0.19,66.0,0.97,70,✅ 买入
股票,POR,50.44,-0.16,84.8,1.09,70,✅ 买入
股票,CERS,1.6,-3.03,54.0,0.97,70,✅ 买入
股票,PTCT,74.95,0.0,76.5,0.7,70,✅ 买入
股票,CGEM,8.27,-0.96,57.1,0.73,70,✅ 买入
股票,AGIO,42.54,-2.5,54.5,1.13,70,✅ 买入
股票,KROS,17.3,-0.97,68.6,0.93,70,✅ 买入
股票,ADMA,15.7,-4.62,53.8,0.93,70,✅ 买入
股票,AKRO,54.2,-0.18,68.3,1.06,70,✅ 买入
股票,ARVN,10.12,-2.79,54.5,0.57,70,✅ 买入
股票,ASND,206.45,3.63,55.2,3.9,70,✅ 买入
股票,BKYI,0.97,5.43,59.4,0.12,70,✅ 买入
股票,CDNA,15.87,-2.7,54.9,0.95,70,✅ 买入
股票,CDTX,105.99,-1.05,56.5,0.67,70,✅ 买入
股票,CTMX,3.86,-8.75,55.3,1.01,70,✅ 买入
股票,KKR,120.75,-1.89,45.6,2.02,70,✅ 买入
股票,CTRE,35.74,-1.27,54.5,0.69,70,✅ 买入
股票,C,100.67,-2.14,52.0,1.0,70,✅ 买入
股票,AXP,364.73,-2.16,60.8,0.89,70,✅ 买入
股票,SCHW,95.36,-2.41,52.8,1.06,70,✅ 买入
股票,MMC,183.85,0.58,45.4,0.77,70,✅ 买入
股票,PGR,223.15,0.58,52.9,0.69,70,✅ 买入
股票,MET,79.47,-0.92,52.0,1.22,70,✅ 买入
股票,LNC,41.08,-1.75,53.8,0.82,70,✅ 买入
股票,UNM,77.0,-0.44,53.5,0.77,70,✅ 买入
股票,BR,225.61,0.87,46.3,0.99,70,✅ 买入
股票,MCO,490.77,-0.01,53.7,0.92,70,✅ 买入
股票,ARWR,41.14,-0.68,60.6,0.92,70,✅ 买入
股票,BMRN,54.22,-1.99,53.3,0.8,70,✅ 买入
股票,JAZZ,141.71,3.66,62.5,1.13,70,✅ 买入
股票,HOLX,74.26,-0.4,68.0,0.57,70,✅ 买入
股票,GOOG,279.12,-2.89,58.0,0.83,70,✅ 买入
股票,AMZN,237.58,-2.71,52.3,0.77,70,✅ 买入
股票,IBM,304.86,-3.21,55.4,0.78,70,✅ 买入
股票,ADI,237.53,-1.62,50.4,1.46,70,✅ 买入
股票,MU,236.95,-3.25,60.8,1.41,70,✅ 买入
股票,LYFT,23.8,-3.13,64.8,1.02,70,✅ 买入
股票,CFLT,23.4,-3.94,55.6,0.66,70,✅ 买入
股票,PCTY,148.3,0.21,49.5,0.78,70,✅ 买入
股票,VRSN,251.51,0.41,49.1,0.92,70,✅ 买入
股票,WDC,157.16,-5.39,60.6,1.01,70,✅ 买入
股票,STX,262.56,-7.31,54.3,1.07,70,✅ 买入
股票,JAMF,12.87,-0.08,77.2,0.35,70,✅ 买入
股票,QTWO,71.72,-2.18,62.7,0.53,70,✅ 买入
股票,UPWK,17.05,0.06,50.9,0.47,70,✅ 买入
股票,AFRM,73.18,-7.31,48.6,1.27,70,✅ 买入
股票,AGYS,125.48,-2.37,56.5,0.83,70,✅ 买入
股票,ALRM,50.41,0.52,49.5,0.89,70,✅ 买入
股票,CACI,587.29,0.11,66.8,0.74,70,✅ 买入
股票,CHKP,198.81,-1.73,51.7,0.47,70,✅ 买入
股票,CIEN,194.21,-7.31,59.7,1.44,70,✅ 买入
股票,COMM,16.73,-5.75,54.0,1.12,70,✅ 买入
股票,CSGS,78.49,0.0,81.9,0.36,70,✅ 买入
股票,HCA,473.28,-0.07,64.5,0.87,70,✅ 买入
股票,MSCI,573.34,-1.28,52.3,0.76,70,✅ 买入
股票,APO,128.71,-3.65,49.7,1.38,70,✅ 买入
股票,DQ,31.72,-1.34,54.7,1.07,70,✅ 买入
股票,AMSF,41.39,0.49,51.7,0.86,70,✅ 买入
股票,K,83.29,-0.04,70.1,0.82,70,✅ 买入
股票,CPB,31.23,0.19,53.6,1.14,70,✅ 买入
股票,HRL,22.66,1.75,46.3,1.32,70,✅ 买入
股票,MKC,66.1,0.33,52.1,1.1,70,✅ 买入
股票,CALM,91.57,0.69,51.4,0.81,70,✅ 买入
股票,FDP,35.94,-2.15,52.9,0.71,70,✅ 买入
股票,BG,96.9,0.62,65.9,1.03,70,✅ 买入
股票,DRUG,58.36,-2.98,52.1,1.89,70,✅ 买入
股票,COKE,161.47,3.62,89.3,1.74,70,✅ 买入
股票,ZVIA,2.58,-4.8,55.0,0.83,70,✅ 买入
股票,POST,106.34,-0.27,50.8,1.04,70,✅ 买入
股票,OKE,69.44,0.78,53.2,1.01,70,✅ 买入
股票,PSEC,2.78,-1.07,53.8,0.83,70,✅ 买入
股票,MPC,194.58,-1.18,53.9,1.07,70,✅ 买入
股票,FANG,144.38,-1.22,52.3,0.87,70,✅ 买入
股票,OXY,42.02,0.21,49.6,0.86,70,✅ 买入
股票,HAL,27.02,0.33,58.4,0.85,70,✅ 买入
股票,WHD,41.38,-2.73,52.2,0.64,70,✅ 买入
股票,PAGP,17.51,0.34,48.6,0.43,70,✅ 买入
股票,WES,38.59,-0.82,51.2,0.68,70,✅ 买入
股票,D,60.87,-0.81,52.9,1.03,70,✅ 买入
股票,ES,73.69,0.11,56.7,0.85,70,✅ 买入
股票,CMS,73.93,-1.37,52.3,0.75,70,✅ 买入
股票,JKS,26.32,-3.63,53.5,0.96,70,✅ 买入
股票,CL,78.79,0.29,52.5,0.81,70,✅ 买入
股票,REX,32.68,-1.83,54.9,0.84,70,✅ 买入
股票,NEXT,5.98,-2.13,43.5,1.28,70,✅ 买入
股票,KALU,93.58,-1.59,59.5,0.7,70,✅ 买入
股票,CMA,78.11,-1.66,55.4,0.66,70,✅ 买入
股票,TW,110.03,0.1,54.3,0.76,70,✅ 买入
股票,IVR,7.67,-1.67,54.6,1.1,70,✅ 买入
股票,WSFS,54.36,-0.62,53.7,0.93,70,✅ 买入
股票,CATY,46.98,0.26,50.3,0.98,70,✅ 买入
股票,GSHD,70.15,0.4,49.9,0.66,70,✅ 买入
股票,AFYA,14.65,1.38,51.4,0.65,70,✅ 买入
股票,ALGT,66.51,-3.71,52.0,0.73,70,✅ 买入
股票,AMBC,9.51,-4.04,61.3,0.82,70,✅ 买入
股票,ORLY,98.35,0.27,49.9,0.76,70,✅ 买入
股票,AZO,3819.29,0.81,47.6,0.92,70,✅ 买入
股票,RIVN,16.39,-6.45,61.1,0.99,70,✅ 买入
股票,T,25.75,0.39,51.8,0.66,70,✅ 买入
股票,HLT,269.89,-1.79,54.8,0.79,70,✅ 买入
股票,SHO,9.43,-0.84,53.9,0.77,70,✅ 买入
股票,EXPE,267.35,-2.3,70.6,1.18,70,✅ 买入
股票,HTHT,44.99,-1.01,79.1,2.17,70,✅ 买入
股票,DENN,6.14,-0.32,66.0,0.89,70,✅ 买入
股票,GOOGL,278.57,-2.84,57.9,0.88,70,✅ 买入
股票,ANF,71.62,0.53,45.0,0.6,70,✅ 买入
股票,M,20.07,-2.48,60.2,1.09,70,✅ 买入
股票,ROST,161.83,-0.63,61.2,1.12,70,✅ 买入
股票,WWD,263.29,-3.92,52.6,0.74,70,✅ 买入
ETF,BATT,13.62,-1.3,55.2,0.87,70,✅ 买入
