类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级,是否新出现
股票,CPK,134.58,0.52,55.9,1.36,130,🔥 新强买入,是
股票,OKE,70.49,1.51,57.7,1.29,120,🔥 新强买入,是
股票,CZNC,19.6,0.46,55.1,1.11,115,🔥 新强买入,是
股票,PAA,16.94,2.29,57.4,1.16,110,🔥 新强买入,是
股票,IRT,16.56,0.61,55.4,0.85,110,🔥 新强买入,是
股票,ARVN,10.57,4.45,59.3,1.07,110,🔥 新强买入,是
股票,PAGP,17.86,2.0,56.5,0.66,110,🔥 新强买入,是
股票,CERS,1.62,1.25,55.2,0.83,110,🔥 新强买入,是
股票,NMIH,37.58,0.97,55.2,0.84,110,🔥 新强买入,是
股票,DQ,33.52,5.67,59.2,1.05,110,🔥 新强买入,是
股票,WES,38.69,0.26,52.1,1.62,110,🔥 新强买入,是
股票,CTRE,35.88,0.39,55.6,0.53,110,🔥 新强买入,是
股票,BMRN,54.73,0.94,55.4,0.69,110,🔥 新强买入,是
股票,AMBC,9.52,0.11,61.4,1.01,110,🔥 新强买入,是
股票,SHO,9.49,0.64,55.3,0.77,110,🔥 新强买入,是
股票,WMB,60.99,2.35,55.2,0.91,110,🔥 新强买入,是
股票,KMI,27.42,1.97,59.4,1.1,110,🔥 新强买入,是
股票,VRE,15.13,1.41,55.5,0.69,110,🔥 新强买入,是
股票,CGEM,8.55,3.39,59.7,1.18,110,🔥 新强买入,是
股票,ET,17.01,2.29,55.1,1.05,110,🔥 新强买入,是
股票,BKR,48.73,2.57,55.9,1.04,110,🔥 新强买入,是
股票,POST,106.7,0.34,52.0,0.93,105,🔥 新强买入,是
股票,JKS,27.04,2.74,56.0,0.95,105,🔥 新强买入,是
股票,ELS,62.12,0.73,53.6,0.55,105,🔥 新强买入,是
股票,KROS,17.26,-0.23,67.9,0.84,105,🔥 新强买入,是
股票,CDNA,15.94,0.41,55.4,0.69,105,🔥 新强买入,是
股票,VXRT,0.41,10.81,62.4,1.33,105,🔥 新强买入,是
股票,WM,209.17,2.28,52.9,1.57,105,🔥 新强买入,是
股票,WBD,23.03,4.02,68.8,1.47,100,🔥 新强买入,是
股票,LILAK,8.25,0.61,52.2,0.6,100,🔥 新强买入,是
股票,SUI,126.82,1.04,53.8,0.52,100,🔥 新强买入,是
股票,DOCN,45.84,1.44,56.6,0.59,100,🔥 新强买入,是
股票,ESNT,61.42,0.36,52.0,1.25,100,🔥 新强买入,是
股票,BR,226.06,0.2,47.2,1.75,100,🔥 新强买入,是
股票,PGR,225.18,0.91,55.6,0.84,100,🔥 新强买入,是
股票,SKT,33.93,0.33,54.2,0.54,100,🔥 新强买入,是
股票,AFYA,14.84,1.3,56.0,1.08,100,🔥 新强买入,是
股票,HR,18.17,0.5,52.5,0.63,100,🔥 新强买入,是
股票,CRS,330.5,1.78,67.8,0.97,95,🔥 新强买入,是
股票,HL,14.6,-1.62,59.1,0.77,95,🔥 新强买入,是
股票,NUE,147.78,1.35,56.7,0.71,95,🔥 新强买入,是
股票,FLS,67.16,-1.24,62.7,0.74,95,🔥 新强买入,是
股票,CMS,73.94,0.01,52.4,0.7,95,🔥 新强买入,是
股票,SBAC,197.21,1.68,51.6,0.73,95,🔥 新强买入,是
股票,AAPL,272.41,-0.2,64.8,0.93,95,🔥 新强买入,是
股票,BILL,50.35,0.48,53.2,0.92,95,🔥 新强买入,是
股票,KR,66.71,1.12,54.1,0.88,95,🔥 新强买入,是
股票,ADMA,15.56,-0.89,52.5,0.71,95,🔥 新强买入,是
股票,MU,246.83,4.17,64.7,1.54,95,🔥 新强买入,是
股票,DDOG,185.01,-0.52,63.2,0.8,95,🔥 新强买入,是
股票,GOSS,2.71,7.97,58.7,0.96,95,🔥 新强买入,是
股票,RVMD,67.75,5.23,81.7,1.62,95,🔥 新强买入,是
股票,WDC,157.83,0.43,61.0,0.95,95,🔥 新强买入,是
股票,HCA,472.65,-0.13,64.0,0.7,95,🔥 新强买入,是
股票,QTWO,72.45,1.02,64.1,0.52,95,🔥 新强买入,是
股票,WSFS,54.55,0.35,54.9,1.06,95,🔥 新强买入,是
