类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级,是否新出现,基本面评分,估值评分,盈利能力评分,成长性评分,财务健康评分,股息评分,PE比率,PB比率,PS比率,净利润率%,ROE%,ROA%,营收增长%,盈利增长%,流动比率,债务股权比,股息收益率%,派息比率%
股票,SBS,26.83,0.98,77.3,1.3,142,✅ 买入,否,27.0,12.0,10.0,0.0,3.0,2.0,13.482412,0.4293693,0.52878904,20.809999,17.889999,7.542,-37.2,-64.7,1.172,81.775,245.00000000000003,35.0
股票,CTRE,35.88,0.39,55.6,0.53,142,✅ 买入,否,32.0,4.0,6.0,12.0,10.0,0.0,26.382353,2.001004,18.698778,61.00299999999999,8.071,4.447,71.2,67.4,5.14,22.249,373.0,95.22
股票,ACRE,4.93,1.23,59.1,1.22,141,✅ 买入,否,21.0,11.0,0.0,6.0,4.0,0.0,14.499999,0.51960367,3.0905633,,,,77.3,,22.97,155.455,1217.0,2266.6698
股票,DVN,35.84,2.28,67.6,1.06,141,✅ 买入,否,31.0,12.0,9.0,3.0,5.0,2.0,8.45283,1.4686117,1.3581268,16.424999,18.586999000000002,8.022001,7.1,-16.2,0.957,56.274,268.0,22.17
股票,CNA,46.31,0.28,58.2,0.77,141,✅ 买入,否,31.0,12.0,2.0,9.0,6.0,2.0,12.653006,1.1071001,0.8440788,6.7140006,9.031,1.2710000000000001,5.5,42.3,0.377,30.648,397.0,49.730000000000004
股票,REGN,693.5,-0.21,74.2,0.89,141,✅ 买入,否,36.0,8.0,9.0,7.0,10.0,2.0,16.610779,2.3028698,5.1266212,32.131,15.187999999999999,6.157,0.8999999999999999,18.0,4.063,8.739,51.0,6.329999999999999
股票,AMGN,336.74,0.22,76.1,1.27,141,✅ 买入,否,26.0,3.0,10.0,8.0,4.0,1.0,26.043308,18.851255,5.040949,19.474000999999998,81.71000000000001,7.706,12.4,13.600000000000001,1.28,567.491,283.0,72.62000400000001
股票,MPC,199.98,2.78,59.6,0.83,141,✅ 买入,否,26.0,8.0,4.0,7.0,5.0,2.0,21.27447,3.5207126,0.4500227,2.158,18.887,3.866,-0.8,141.2,1.315,143.175,200.0,38.72
股票,KROS,17.26,-0.23,67.9,0.84,141,✅ 买入,否,36.0,11.0,7.0,6.0,10.0,2.0,11.064103,0.99676603,2.1369164,26.123,10.424999999999999,4.3950000000000005,3575.8,,29.857,2.477,0.0,0.0
股票,KYMR,64.94,2.06,64.7,1.61,141,✅ 买入,否,11.0,1.0,0.0,0.0,8.0,2.0,,4.923427,106.83365,,,,-26.1,,7.381,8.877,0.0,0.0
股票,MTG,28.21,0.07,56.8,0.73,140,✅ 买入,否,35.0,10.0,9.0,4.0,10.0,2.0,9.07074,1.2333858,5.188743,61.963004,14.402000000000001,9.2659995,-0.7000000000000001,7.8,4.511,12.484,213.0,17.36
股票,WES,38.69,0.26,52.1,1.62,140,✅ 买入,否,30.0,7.0,11.0,8.0,4.0,0.0,11.446745,4.6502404,4.220203,34.573,40.493,8.225001,7.8,17.599999999999998,1.432,210.296,941.0,105.62
